,lepton1_pt,lepton2_pt,lepton3_pt,lepton1_eta,lepton2_eta,lepton3_eta,lepton1_phi,lepton2_phi,lepton3_phi,MET,MET_phi,lepton1_flavor,lepton2_flavor,lepton3_flavor,lepton1_charge,lepton2_charge,lepton3_charge
20,78735.51826762313,25366.36940521881,22912.565511099358,0.5518197629849805,-1.4363952136024154,1.1959755211579797,2.6130038350454807,-0.8120448248491964,0.5512149662283117,297072.75445665943,0.3796003131020306,11,13,11,-1,1,1
21,60421.176168417696,5563.61264381639,4369.941211333183,1.4715849736845976,3.158173629354423,1.0466941122430407,-0.5037288292690589,2.1605233206781462,-2.7717791031466357,67325.6902497532,-3.0145667843821724,11,11,11,-1,1,1
22,30288.55365870906,3241.6041943815017,717.7414454590044,-0.8710344014715304,2.644157022540133,-1.5182058416901871,3.1133842056264505,-0.9825447630064222,0.05860121206258709,197765.36622799982,-2.558502624195402,11,11,11,-1,-1,1
23,51768.131964573695,6099.196575791969,1477.4486810579422,0.47609416796064596,1.157629661548079,1.2472541450588208,-0.7875339487998475,2.9302812222549584,-2.866456373149531,198912.78027673037,-0.08553661077166347,11,11,11,1,1,1
24,96425.07381873117,8617.89956301397,6125.098537539126,-0.3554812913503354,2.3659034994950887,-1.1071396381992418,-0.3763179620565777,-1.3722123469702472,-0.09448990064201972,178954.48700590286,2.4062531640380542,11,11,11,-1,1,1
25,42905.20873651526,4941.002280390877,2959.1127335675674,-2.149982617510692,0.13618848010451512,-2.336087421231268,0.8623796976458455,-1.5306276229143927,1.5031751331920098,106609.19339115835,1.5399028558404326,13,11,11,1,-1,-1
26,35824.27066559408,27052.911389819194,12537.69947237994,-0.18885171262392145,-0.8259663135324076,0.6684096598410354,-2.1396635821540197,-1.9065355357909914,0.7561353650868443,97517.232202758,-1.6172017217000931,13,13,13,1,-1,-1
27,72086.46685551539,6442.914380161559,3193.646890965315,0.8989762418549806,-0.402615210242032,1.3609010545960787,2.1006895126741254,-0.505704885554847,-0.6385049170455901,99891.3057520166,-0.14393064115138676,11,11,11,-1,-1,1
28,25402.356338313784,1595.6791595548002,1553.5262976266931,-1.7798600716831503,-2.128121284677923,-0.8441068004903708,-1.6793989053600802,2.628737557272868,-0.3730773133173656,61446.61815607213,-2.181895213471297,11,11,11,-1,1,-1
29,19140.267766831468,9206.9156827189,5830.630450779411,-0.47881612242265903,-1.8839579710259429,-1.6350304039973176,-1.5202200516860749,-2.303110688155955,0.9659578039313712,179074.09360000637,1.2324765793475327,13,13,11,1,-1,1
30,24749.49404501419,23149.171075080703,9562.45167002476,-2.820958793726051,-0.9340985475949137,1.9241400525165757,0.13003010207812443,0.5124630468031196,2.514456747279722,209166.39519695367,2.9432977380118093,13,11,11,-1,-1,1
31,123918.95551902078,55570.31514659308,26826.022824829677,-0.7237389811971032,-0.5424256168255953,0.4963029075281749,-2.444676793355862,-1.898768345553642,-2.7950413488033834,264316.3811843227,-2.8838658577975935,11,11,11,1,-1,-1
32,51012.2648135308,2048.6670953943103,1752.248238298514,-0.43873337259153516,1.665474490907305,-0.44070918330653186,-2.8027670416815584,1.7452023184279237,2.5396611617738087,19290.732919175796,2.2101496773155724,11,11,11,1,1,-1
33,170851.00340566316,33031.31904525669,10074.373936721357,-1.8202927126128432,-1.4696170130376247,-1.5309887822488446,-1.5206173498965694,0.7765806400118183,1.135230929369892,187195.98222426386,1.7046607139458434,13,11,11,1,1,-1
34,83414.10019642177,36405.98560127795,22282.46368447324,0.07446350384870569,-0.5312829374046901,-0.04402412627669853,-2.6302604028188425,1.713205555784059,1.05109197789529,196213.14341428576,1.9999964991319679,11,11,11,1,1,-1
35,71502.7668712393,42094.37375293174,7132.6272761368855,0.42326708483812414,-1.2201823729162358,1.967048949580262,0.6553268227882577,-2.0520608009658896,3.0953602186552716,64165.90265804282,0.3595858944875734,11,11,13,-1,1,1
36,27757.917083833236,26146.971998778637,3862.7179876115288,1.5361009765087565,1.1654174846262937,-0.4201194928367031,-1.4320835932445766,2.2961303235229846,1.2056323510711595,472017.2847397078,2.0032292998334653,11,11,11,-1,1,1
37,38901.97109115714,16212.304655012653,3799.4072430867736,-2.310365309149899,-1.405722381929497,-3.754669757836946,0.3350067730057439,2.826888318027523,1.8925126317919352,95258.1399363283,-2.3177844427456065,13,11,13,-1,1,1
