,lepton1_pt,lepton2_pt,lepton3_pt,lepton1_eta,lepton2_eta,lepton3_eta,lepton1_phi,lepton2_phi,lepton3_phi,MET,MET_phi,lepton1_flavor,lepton2_flavor,lepton3_flavor,lepton1_charge,lepton2_charge,lepton3_charge
14,160720.5953355627,16392.94263014438,11424.009191521469,-1.4855411481763567,-0.04140117460226495,-1.3154037265584637,-2.350127469455704,0.7700591704600646,-2.650151240410746,114626.96125219905,0.36365562814863606,11,11,11,-1,-1,1
15,102583.78785498653,9492.79241064701,8973.905913196159,0.16876854668041594,-0.49888444928945125,-1.137022995691638,-2.4626518558097326,-1.0343584028779882,-2.2774985877111447,109773.6918185453,0.13808404270108823,13,13,13,1,1,-1
16,62350.39195893345,22706.814843513406,19508.296241318665,-0.6107549002426315,0.030105694620629054,2.2486080303113973,0.6643841738774223,-2.0526506244001363,-2.9748446309320733,170725.0051724089,2.36821664309428,11,11,13,1,1,-1
17,132091.4624592637,24166.37782559188,20165.30679689776,1.3377356963805942,1.608762449139902,1.1960607153586356,0.7571745625256984,1.080681953151315,-1.947817117797489,124669.67314820348,-2.187071243364907,11,11,11,-1,1,-1
18,57200.768755315796,45290.344525503955,25623.029697702128,1.019388111420593,1.0273525063018327,-0.3830793378593734,-0.6081534371475724,1.3167119572566404,-2.468344184815703,276631.5736098174,-2.4521584643768746,13,11,11,-1,-1,1
19,153710.66293233598,9232.23722969134,6805.918331449383,1.0304723617108686,0.8316875110409381,-2.0622387808863425,0.7755359757206526,1.1033957578317866,2.038632384209352,15791.544052362453,-0.5433855203598593,11,11,13,1,-1,-1
20,61903.858898143175,27158.683721590973,9876.913226737312,-0.5302046155852779,-0.19246160550383837,0.41666292168642577,1.8834267093991992,-0.7518040280882531,-1.6302038968158612,51823.87992148488,-1.7664266158980197,11,11,13,-1,1,-1
21,14667.30796909852,10108.85232739047,4821.052897894292,0.6635752301111638,0.3323958775834641,1.011087374051082,-0.6139263709839388,1.4455121138990141,2.3479921593309965,178284.08470278996,2.4880970371268925,11,11,11,-1,1,-1
22,76606.52788485259,17652.308745774277,7759.869320502806,0.3909363883517127,-0.7205700012113204,2.4056598577930357,0.05983602999235741,0.7553342609281924,2.1910550293689277,215665.1413398273,1.5307557639956977,13,13,11,1,-1,-1
23,36821.33482035804,9261.528808476376,5232.837679751878,-0.7620220255922696,-2.5897900662958024,-1.302890701436215,-0.4155330012378657,2.451914625832267,-1.024833910143035,81554.02961959282,-1.6582332059497509,11,11,11,1,-1,-1
24,20913.782627908004,13233.503680865551,8501.708374980532,0.7617822955179875,-0.7434081548548168,2.335307884803049,0.39436024986489704,-0.7200517541270013,0.14032501391809052,41341.84663713807,-2.189031047386132,11,11,11,-1,1,-1
25,147010.52911321697,21450.61643244888,9027.578313516357,1.8691274346652582,0.3862102507168627,-1.873037765417058,-2.2042535983598026,1.6646436050124573,-1.9568915022012772,268802.2877105172,2.171267221328802,11,11,11,-1,-1,-1
