,lepton1_pt,lepton2_pt,lepton3_pt,lepton1_eta,lepton2_eta,lepton3_eta,lepton1_phi,lepton2_phi,lepton3_phi,MET,MET_phi,lepton1_flavor,lepton2_flavor,lepton3_flavor,lepton1_charge,lepton2_charge,lepton3_charge,visible_pt,transverse_mass,dilep_mass,dilep_DR
1443,28632.32812363967,28632.32812363967,9371.119226082179,-0.5501724241929647,-0.5501724241929647,-0.5981813977121478,2.074261837904454,2.074261837904454,2.1173230817552406,28302.673117990453,-0.20855868239138642,11,11,11,1,1,-1,66628.30976483112,98058.12772816107,1056.440624815262,0.06449133476942867
1444,4938.557362066761,4938.557362066761,2970.0842638461313,-1.0847473957618126,-1.0847473957618126,-1.0818109264311995,-0.6718931377357408,-0.6718931377357408,-0.658267229590185,101955.78562188684,1.4023685003819384,11,11,11,1,1,-1,12846.987011244055,121966.59493196264,53.39964589256488,0.013938731108704047
1445,12488.140666543686,12488.140666543686,11520.909029359778,0.09868274118305835,0.09868274118305835,-1.619252175956544,-3.0171200439252126,-3.0171200439252126,-1.1120053672913512,82902.81744425112,2.502429189510639,11,11,11,1,1,-1,23826.669808714763,135859.89199416884,30365.262149707927,2.56529965318931
1446,1524.6680809370598,1524.6680809370598,310.3346094850169,0.8659155440865276,0.8659155440865276,0.8100849102992552,-2.6553151827560266,-2.6553151827560266,-2.6613427426957648,84315.95106781063,1.7542410348060489,11,11,11,1,1,-1,3359.6656546481017,88939.7631595788,38.650626522000515,0.05615506342188259
1447,36.13882035951254,36.13882035951254,2.7699069621080685,1.3029846382868022,1.3029846382868022,1.5767645556190448,-0.33021460901726557,-0.33021460901726557,-1.0972731852316204,37101.65343127384,-2.0169462576115045,11,11,11,-1,-1,1,74.29672375133973,37251.258715126285,8.17484652449199,0.8144533764915233
1448,12203.147371445728,12203.147371445728,461.43215691048823,-0.9086473635340668,-0.9086473635340668,-0.2993512529673019,1.250633925161491,1.250633925161491,2.6591753097703634,109518.28746941143,-2.0570472061553358,11,11,11,-1,-1,1,24485.071159919753,142938.58696092624,3405.6539875142225,1.534676051324079
1449,1304.2453459953415,1304.2453459953415,12.422800905072176,-0.04226540627122341,-0.04226540627122341,-0.07818788530883912,2.9094476646359766,2.9094476646359766,3.0496455964573657,37214.23531800522,-0.9567395569265108,11,11,11,1,1,-1,2620.792179732302,39837.37227912677,19.148217621008847,0.14472693110545387
1450,1358.1185241343396,1358.1185241343396,164.79180307056595,0.30508591751977365,0.30508591751977365,0.326272103658099,2.0170632941812108,2.0170632941812108,2.015617259517865,38713.71860006173,-1.6235818539817457,11,11,11,1,1,-1,2881.0286889029726,41721.36435308395,10.172298616702648,0.021235477374793487
1451,25134.775685383076,25134.775685383076,1900.6990842963244,-0.6392034743583304,-0.6392034743583304,-0.8350472087939608,2.2138392338750585,2.2138392338750585,2.053654948163498,115341.16568956287,1.6535819302473007,13,13,13,1,1,-1,52146.79876910033,175149.62675475786,1793.1088114095123,0.2530094340269087
1452,169232.46942889664,169232.46942889664,20855.585555922942,-1.4924828909414185,-1.4924828909414185,-1.1784727862854099,1.020911839152593,1.020911839152593,1.0973849703873377,90284.83714728233,0.8239454779080666,11,11,11,-1,-1,1,359263.10419516574,536152.1380333443,19274.43674293138,0.3231880035318823
1453,22963.080230678406,22963.080230678406,2836.8588352534643,0.7979145131128688,0.7979145131128688,0.9111731255127423,-1.2202326574987044,-1.2202326574987044,-1.1639431479533693,149541.8515437786,2.415090908071202,13,13,13,1,1,-1,48758.787387029355,210508.97068081234,1072.4761680497206,0.12647538166615335
1454,17843.794066918068,17843.794066918068,11017.092504082171,0.07422342523809879,0.07422342523809879,1.0546643581171649,-1.031921709084247,-1.031921709084247,1.3057889902583448,92057.4252259217,-0.7192964431591526,11,11,11,1,1,-1,29143.11233122036,144633.59584243622,29506.035056751196,2.5349863385599543
1455,102323.2949558373,102323.2949558373,67259.94282635945,0.5258852232307727,0.5258852232307727,0.3837661041823794,-2.1840165279955017,-2.1840165279955017,-2.414719888049473,53913.28168683572,2.5350706445457107,11,11,11,1,1,-1,270562.0129849936,331813.09136684856,22448.1734823972,0.27096472895800233
